Feature	Gain	Cover	Frequency
Visa_madelantopesos_lag1	0.000352373919213418	0.00016606563981431	0.000585092134387909
Visa_delinquency_lag1	0.000347919042931301	0.000691281965266513	0.000334841884137659
vmr_mpagosdolares	0.000347228113062994	0.00069506338089373	0.000373613049669388
ccajas_consultas_delta1	0.000342329624724891	0.00115614136144141	0.000112788845183211
ctransferencias_recibidas_delta1	0.000319395795084084	0.00213598390940887	0.000271398158722102
mtarjeta_master_consumo_delta1	0.000317255242943049	0.000957038676084284	0.000338366535549634
ccomisiones_mantenimiento_lag1	0.000316790552601995	0.00157541099114973	0.000222053038954447
mplazo_fijo_dolares_lag1	0.000295185295159847	0.00145672904306244	0.000229102341778398
mcaja_ahorro_adicional_delta1	0.00029233499044741	0.00292587079336977	0.00025025025025025
Master_status_lag1	0.000289862483763101	0.000846942458098241	0.00015156001071494
ctransferencias_recibidas_lag1	0.000287587449898988	0.00158167336926732	0.000299595370017905
ccomisiones_mantenimiento	0.000287286030578062	0.00137974520406599	0.000109264193771236
vm_fechaalta_delta1	0.000284021023931642	0.000350412481401304	0.000334841884137659
Visa_msaldodolares_delta1	0.000280422008112441	0.00108698696942076	0.000310169324253831
vm_mconsumosdolares_delta1	0.000271982755843198	0.00128996162273002	0.000260824204486176
matm_other	0.00026394668435011	0.00126212753115045	0.000274922810134078
vmr_mpagosdolares_delta1	0.000261006648398082	0.000629090400229733	0.00025025025025025
cseguro_accidentes_personales_lag1	0.000250340826859162	0.00065062159342867	0.000303120021429881
Visa_madelantopesos	0.000246984049802235	0.000133838619060365	0.000479352592028648
ccomisiones_otras_delta1	0.000243687518366177	0.00134602673325458	0.000204429781894571
